block_id,local_theme_name,cluster_count,review_count_sum,member_centers,spot_check,notes
block-003,Ice production capacity,1,10,basket capacity,,
block-003,Refill Effort,1,10,refill effort,,
block-003,Reservoir Cleanliness,1,10,reservoir cleanliness,,
block-003,Reservoir Design,1,10,reservoir design,,
block-003,Water Efficiency,1,10,water efficiency,,
block-003,Water Tank Size,1,10,water tank size,,
block-003,Water_Recycling,1,10,water_recycling,,
block-004,Ice retention,13,1315,ice retention | temperature retention,,
block-004,Functionality,21,744,functionality,,
block-004,Ice storage capacity,10,202,ice basket capacity | ice storage | storage capacity,,
block-004,Capacity,5,127,capacity,,
block-004,Ice Detection Accuracy,1,114,ice detection accuracy,,
block-004,Ice Temperature Retention,1,106,ice temperature retention,,
block-004,Display accuracy,3,103,display accuracy,,
block-004,Water recycling,4,101,water recycling,,
block-004,Ice production capacity,5,99,basket capacity | ice quantity,,
block-004,Ice availability,3,85,ice availability,,
block-004,Ice Full Sensor,1,81,ice full sensor,,
block-004,Ice melting,3,75,ice melting,,
block-004,Availability,1,70,availability,,
block-004,Leakage,3,63,leaking,,
block-004,Ice Ejection,2,62,ice ejection,,
block-004,Space Efficiency,1,60,space efficiency,,
block-004,Ice Detection,3,50,ice detection,,
block-004,Temperature control,3,45,temperature,,
block-004,Freezing performance,3,41,freezing ability | freezing performance,,
block-004,Jamming,1,40,jamming,,
block-004,Ice Maker Functionality,2,39,ice maker functionality,,
block-004,Melting Behavior,1,38,melting behavior,,
block-004,Storage Capability,1,38,storage capability,,
block-004,Defrosting Behavior,1,35,defrosting behavior,,
block-004,Ice Separation,2,34,ice separation,,
block-004,Ice cube shape,3,34,ice shape,,
block-004,Ease of use,1,31,ease of use,,
block-004,Ice Breaking,2,31,ice breaking,,
block-004,Ice Tray Necessity,2,30,ice tray necessity,,
block-004,Ice Dropping,2,29,ice dropping,,
block-004,Overflowing,1,26,overflowing,,
block-004,Reliability,2,26,continuous operation | reliability,,
block-004,Bin Capacity,2,25,bin capacity,,
block-004,Ice Duration,1,24,ice duration,,
block-004,Freezing Behavior,2,23,freezing behavior,,
block-004,Refrigeration,2,22,refrigeration,,
block-004,Freezer Space Efficiency,1,21,freezer space efficiency,,
block-004,Ice Storage Duration,1,21,ice storage duration,,
block-004,Scooping,1,21,scooping,,
block-004,Ice Full Indicator,1,20,ice full indicator,,
block-004,Storage,1,20,storage,,
block-004,Cube Separation,1,19,cube separation,,
block-004,Fit,1,19,fit,,
block-004,Freezing Capability,1,18,freezing capability,,
block-004,Accessories,1,17,accessories,,
block-004,Light Indicator,1,17,light indicator,,
block-004,Design,1,16,design,,
block-004,Ice Getting Stuck,1,16,ice getting stuck,,
block-004,Ice Keeping,1,16,ice keeping,,
block-004,Ice Maker Cost,1,16,ice maker cost,,
block-004,Refrigeration Capability,1,16,refrigeration capability,,
block-004,Refrigeration Function,1,16,refrigeration function,,
block-004,Convenience / utility,1,15,convenience,,
block-004,Filling Behavior,1,15,filling behavior,,
block-004,Freezer Storage,1,15,freezer storage,,
block-004,Ice Recycling,1,15,ice recycling,,
block-004,Ice Release,1,15,ice release,,
block-004,Refill Functionality,1,15,refill functionality,,
block-004,Tray Mechanism,1,15,tray mechanism,,
block-004,Cube Retention,1,14,cube retention,,
block-004,Frost Buildup,1,14,frost buildup,,
block-004,Full Detection,1,14,full detection,,
block-004,Ice Cube Handling,1,14,ice cube handling,,
block-004,Ice Removal,1,14,ice removal,,
block-004,Ice Tray,1,14,ice tray,,
block-004,Ice production speed,1,14,filling speed,,
block-004,Shut-Off Function,1,14,shut-off function,,
block-004,Basket Full Indicator,1,13,basket full indicator,,
block-004,Basket Temperature,1,13,basket temperature,,
block-004,Ice Storage Space,1,13,ice storage space,,
block-004,Tray Size,1,13,tray size,,
block-004,Water Pump Function,1,13,water pump function,,
block-004,Automatic Restart,1,12,automatic restart,,
block-004,Basket Size,1,12,basket size,,
block-004,Chamber Temperature,1,12,chamber temperature,,
block-004,Compactness,1,12,compactness,,
block-004,Dispensing,1,12,dispensing,,
block-004,Freezing,1,12,freezing,,
block-004,Freezing Duration,1,12,freezing duration,,
block-004,Ice Bin Filling,1,12,ice bin filling,,
block-004,Self-cleaning feature,1,12,self-cleaning feature,,
block-004,Transfer Ease,1,12,transfer ease,,
block-004,Basket Durability,1,11,basket durability,,
block-004,Bin Temperature Control,1,11,bin temperature control,,
block-004,Cube Freezing Behavior,1,11,cube freezing behavior,,
block-004,Freezing Function,1,11,freezing function,,
block-004,Ice Bucket Capacity,1,11,ice bucket capacity,,
block-004,Ice Dispensing,1,11,ice dispensing,,
block-004,Ice Dumping,1,11,ice dumping,,
block-004,Ice Handling,1,11,ice handling,,
block-004,Ice melting speed,1,11,melting speed,,
block-004,Replacement Fit,1,11,replacement fit,,
block-004,Reservoir Capacity,1,11,reservoir capacity,,
block-004,Shut-Off Reliability,1,11,shut-off reliability,,
block-004,Sticking,1,11,sticking,,
block-004,Storage Duration,1,11,storage duration,,
block-004,Ice Bin Management,1,10,ice bin management,,
block-004,Ice Bin Size,1,10,ice bin size,,
block-004,Ice Insulation,1,10,ice insulation,,
block-004,Ice Storage Capacity,1,10,ice storage capacity,,
block-004,Ice Temperature,1,10,ice temperature,,
block-004,Ice Type,1,10,ice type,,
block-004,Ice_Clumping,1,10,ice_clumping,,
block-004,Insulation,1,10,insulation,,
block-004,Sensor Blocking,1,10,sensor blocking,,
block-004,Storage Requirement,1,10,storage requirement,,
block-004,Storage Temperature,1,10,storage temperature,,
block-004,Tray Cooling,1,10,tray cooling,,
block-004,Tray Freezing,1,10,tray freezing,,
block-004,Water Reservoir Capacity,1,10,water reservoir capacity,,
block-005,Noise level,125,11317,fan noise | noise | noise level | sound quality,,
block-005,Quietness,3,33,quietness,,
block-005,Loudness,1,30,loudness,,
block-005,Compressor Noise,1,26,compressor noise,,
block-005,Motor Noise,1,24,motor noise,,
block-005,Sound,2,20,sound,,
block-005,Noise Annoyance,1,13,noise annoyance,,
block-005,Ice Droping Sound,1,12,ice droping sound,,
block-005,Ice Dumping Noise,1,11,ice dumping noise,,
block-005,Squealing Sound,1,10,squealing sound,,
block-006,Durability,15,227,durability,,
block-006,Motor Durability,3,42,motor durability,,
block-006,Lid Durability,2,24,lid durability,,
block-006,Plastic Durability,1,13,plastic durability,,
block-006,Product condition,1,13,condition,,
block-006,Coating Durability,1,12,coating durability,,
block-006,Reliability,1,11,reliability,,
block-006,Rust,1,11,rust,,
block-006,Teflon Coating Durability,1,10,Teflon coating durability,,
block-007,Overall satisfaction,30,1778,overall satisfaction | satisfaction,,
block-007,Recommendation,10,641,recommendation,,
block-007,Ice quality,7,540,overall quality | quality,,
block-007,Value for money,17,293,overall value | recommendation value | value,,
block-007,Family Satisfaction,3,57,family satisfaction,,
block-007,Suitability,1,51,suitability,,
block-007,Enjoyment,4,50,enjoyment,,
block-007,Love,2,48,love,,
block-007,Purchase Satisfaction,1,33,purchase satisfaction,,
block-007,Family Appeal,2,29,family appeal,,
block-007,Overall Appeal,2,27,overall appeal,,
block-007,Product Satisfaction,1,27,product satisfaction,,
block-007,Customer Satisfaction,1,20,customer satisfaction,,
block-007,Overall performance,1,17,performance,,
block-007,Machine,1,16,machine,,
block-007,Excitement,1,15,excitement,,
block-007,Kitchen Suitability,1,15,kitchen suitability,,
block-007,Product Appeal,1,13,product appeal,,
block-007,Excitement Level,1,12,excitement level,,
block-008,Water Level Indicator,2,224,water level indicator,,
block-008,Usage Frequency,1,161,usage frequency,,
block-008,Temperature control,5,109,temperature | temperature control,,
block-008,Functionality,4,89,functionality,,
block-008,Odor,2,88,smell,,
block-008,Sensor Functionality,3,76,sensor functionality,,
block-008,Fan Functionality,1,72,fan functionality,,
block-008,Heat Generation,1,68,heat generation,,
block-008,Water Level Detection,1,55,water level detection,,
block-008,Shut-Off Function,2,44,shut-off function,,
block-008,Auto Shut-Off,2,38,auto shut-off,,
block-008,Safety,2,36,safety,,
block-008,Water Detection,3,31,water detection,,
block-008,Heat Emission,1,30,heat emission,,
block-008,Pump Functionality,1,29,pump functionality,,
block-008,Reliability,2,29,continuous operation,,
block-008,Jamming,1,27,jamming,,
block-008,Lights Behavior,1,24,lights behavior,,
block-008,Water Sensor,2,24,water sensor,,
block-008,Auto Shut-Off Feature,1,23,auto shut-off feature,,
block-008,Cord Length,1,20,cord length,,
block-008,Vibration,1,20,vibration,,
block-008,Notification Feature,1,18,notification feature,,
block-008,Indicator Behavior,1,17,indicator behavior,,
block-008,Sensor Accuracy,1,17,sensor accuracy,,
block-008,Fan Operation,1,15,fan operation,,
block-008,Full Indicator,1,15,full indicator,,
block-008,Mode Behavior,1,15,mode behavior,,
block-008,Readiness,1,15,readiness,,
block-008,Auto-Stop Feature,1,14,auto-stop feature,,
block-008,Shutoff Behavior,1,14,shutoff behavior,,
block-008,Wetness,1,14,wetness,,
block-008,Compatibility,1,13,compatibility,,
block-008,Ice Level Indicator,1,13,ice level indicator,,
block-008,Automatic Shut-Off,1,12,automatic shut-off,,
block-008,Bluetooth Connectivity,1,12,Bluetooth connectivity,,
block-008,Monitoring Requirement,1,12,monitoring requirement,,
block-008,Power Control,1,12,power control,,
block-008,Water Indicator,1,12,water indicator,,
block-008,Wiring Harness Inclusion,1,12,wiring harness inclusion,,
block-008,Automation,1,11,automation,,
block-008,Error Display,1,11,error display,,
block-008,Indicator Accuracy,1,11,indicator accuracy,,
block-008,Indicator Light Behavior,1,11,indicator light behavior,,
block-008,Notification System,1,11,notification system,,
block-008,Sensor Reliability,1,11,sensor reliability,,
block-008,Adjustments,1,10,adjustments,,
block-008,Basket Detection,1,10,basket detection,,
block-008,Basket Emptying Requirement,1,10,basket emptying requirement,,
block-008,Display accuracy,1,10,display accuracy,,
block-008,Ice Bin Indicator,1,10,ice bin indicator,,
block-008,Light Indicator,1,10,light indicator,,
block-008,Operating Behavior,1,10,operating behavior,,
block-008,Power Button Behavior,1,10,power button behavior,,
block-008,Power Cord Length,1,10,power cord length,,
block-008,Reset Procedure,1,10,reset procedure,,
block-008,Safety Feature,1,10,safety feature,,
block-008,Water Addition Prompt,1,10,water addition prompt,,
block-008,Water Detection Accuracy,1,10,water detection accuracy,,
block-008,Water Level Sensor,1,10,water level sensor,,
block-008,Water Sensor Accuracy,1,10,water sensor accuracy,,
block-009,Ice Making Performance,1,10617,ice making performance,,
block-009,Ice production performance,10,3130,ice production,,
block-009,Speed,12,2412,speed,,
block-009,Ice production speed,19,2148,filling speed | ice making speed | ice production speed | production rate | production speed | production time,,
block-009,Ice production capacity,24,773,basket capacity | ice capacity | ice production capacity | ice production quantity | ice quantity | production capacity,,
block-009,Ice melting speed,12,429,ice melting rate | ice melting speed | melting rate | melting speed,,
block-009,Capacity,21,393,capacity,,
block-009,Ice quality,4,86,ice quality,,
block-009,Overall performance,3,86,performance,,
block-009,Ice cube size,2,82,ice cube size,,
block-009,Ice production frequency,4,53,ice production frequency,,
block-009,Durability,1,47,durability,,
block-009,Ice melting,2,43,ice melting | melting,,
block-009,Ice availability,1,33,ice availability,,
block-009,Ice Production Volume,2,30,ice production volume,,
block-009,Large Capacity,1,27,large capacity,,
block-009,Filling Capacity,2,25,filling capacity,,
block-009,Ice Storage Capacity,2,25,ice storage capacity,,
block-009,Ice storage capacity,1,23,storage capacity,,
block-009,Filling,1,20,filling,,
block-009,Ice Production Rate,1,20,ice production rate,,
block-009,Quantity,1,19,quantity,,
block-009,Ice Retention Time,1,16,ice retention time,,
block-009,Daily Capacity,1,15,daily capacity,,
block-009,Volume,1,15,volume,,
block-009,Bin Filling Time,1,13,bin filling time,,
block-009,Continuous Ice Production,1,13,continuous ice production,,
block-009,Ice Formation Time,1,13,ice formation time,,
block-009,Quantity Sufficiency,1,13,quantity sufficiency,,
block-009,Batch Quantity,1,12,batch quantity,,
block-009,Cube Production Time,1,12,cube production time,,
block-009,Ice retention,1,12,ice retention,,
block-009,Machine size,1,12,size,,
block-009,Filling Time,1,11,filling time,,
block-009,Ice Cube Production Time,1,11,ice cube production time,,
block-009,Ice Distribution,1,11,ice distribution,,
block-009,Production_Time,1,11,production_time,,
block-009,Ice Production Function,1,10,ice production function,,
block-009,Output Volume,1,10,output volume,,
block-010,Functionality,43,3267,functionality | operation,,
block-010,Compatibility,2,35,compatibility,,
block-010,Troubleshooting Effectiveness,1,28,troubleshooting effectiveness,,
block-010,Power_On,1,21,power_on,,
block-010,Problems,1,18,problems,,
block-010,Usage,1,18,usage,,
block-010,Reset Functionality,1,17,reset functionality,,
block-010,Reset Procedure,1,16,reset procedure,,
block-010,Button Functionality,1,15,button functionality,,
block-010,Problem Resolution,1,15,problem resolution,,
block-010,Product Functionality,1,12,product functionality,,
block-010,Restart Functionality,1,12,restart functionality,,
block-010,Use,1,11,use,,
block-010,Accessibility,1,10,accessibility,,
block-010,Compressor Operation,1,10,compressor operation,,
block-010,Lights Functionality,1,10,lights functionality,,
block-010,Malfunction,1,10,malfunction,,
block-010,Motor Function,1,10,motor function,,
block-010,Power On,1,10,power on,,
block-011,Cleanability,17,857,cleanability | cleaning | cleaning effectiveness,,
block-011,Cleaning Ease,3,586,cleaning ease,,
block-011,Maintenance,7,185,maintenance,,
block-011,Self-cleaning feature,5,185,self cleaning feature | self-cleaning | self-cleaning feature,,
block-011,Maintenance Frequency,3,178,maintenance frequency,,
block-011,Repairability,1,115,repairability,,
block-011,Drainage,5,111,drain plug usability | drainability | drainage ease | ease of draining,,
block-011,Self Cleaning Function,2,77,self cleaning function,,
block-011,Hygiene,2,59,hygiene,,
block-011,Maintenance Effort,2,48,maintenance effort,,
block-011,Cleaning functionality,4,43,cleaning function,,
block-011,Cleaning Frequency,2,38,cleaning frequency,,
block-011,Storage,1,38,storage,,
block-011,Cleaning Requirement,3,36,cleaning requirement,,
block-011,Cleanliness,3,36,cleanliness,,
block-011,Convenience / utility,1,35,usefulness,,
block-011,Cleaning Cycle,2,27,cleaning cycle,,
block-011,Cleaning Effort,1,27,cleaning effort,,
block-011,Repair Ease,1,22,repair ease,,
block-011,Ease Of Removal,1,20,ease of removal,,
block-011,Daily Usability,1,19,daily usability,,
block-011,Ease Of Cleaning,1,16,ease of cleaning,,
block-011,Disassembly,1,15,disassembly,,
block-011,Scoop Durability,1,14,scoop durability,,
block-011,Cleaning Mode Functionality,1,13,cleaning mode functionality,,
block-011,Cleaning Time,1,13,cleaning time,,
block-011,Ease of use,1,13,ease of use,,
block-011,Maintenance Requirement,1,13,maintenance requirement,,
block-011,Mess Level,1,13,mess level,,
block-011,Scoop Convenience,1,13,scoop convenience,,
block-011,Scoop Functionality,1,13,scoop functionality,,
block-011,Accessibility,1,11,accessibility,,
block-011,Basket Maintenance Requirement,1,11,basket maintenance requirement,,
block-011,Cleaning Maintenance,1,11,cleaning maintenance,,
block-011,Portability,1,11,portability,,
block-011,Effectiveness,1,10,effectiveness,,
block-012,Reliability,24,927,continuous operation | reliability,,
block-012,Functionality,24,567,functionality | operation,,
block-012,Overall performance,16,550,performance,,
block-012,Convenience / utility,19,546,convenience | utility,,
block-012,Freezing performance,7,231,freezing ability | freezing performance,,
block-012,Cooling performance,5,161,cooling performance,,
block-012,Ease of use,11,154,ease of use | usability,,
block-012,Value for money,8,152,purchase value | value,,
block-012,Portability,5,128,portability,,
block-012,Durability,4,119,durability | longevity,,
block-012,Recommendation,6,102,recommendation,,
block-012,Ice availability,7,101,ice availability,,
block-012,Cost savings,4,60,cost savings,,
block-012,Ice Longevity,2,36,ice longevity,,
block-012,Maintenance,2,35,maintenance,,
block-012,Compatibility,2,28,compatibility,,
block-012,Freezing,2,28,freezing,,
block-012,Temperature control,2,27,temperature control,,
block-012,Insulation Quality,2,22,insulation quality,,
block-012,Ice retention,2,21,ice retention | temperature retention,,
block-012,Temperature Maintenance,2,21,temperature maintenance,,
block-012,Storage Convenience,1,19,storage convenience,,
block-012,Temperature Performance,1,19,temperature performance,,
block-012,Capacity,1,18,capacity,,
block-012,Ice cube durability,1,17,ice durability,,
block-012,Product condition,1,16,product condition,,
block-012,Replacement Effectiveness,1,16,replacement effectiveness,,
block-012,Maintenance Requirement,1,15,maintenance requirement,,
block-012,Installation,1,14,ease of installation,,
block-012,Installation time,1,14,installation time,,
block-012,Defrosting Frequency,1,13,defrosting frequency,,
block-012,Ice Maker Utility,1,13,ice maker utility,,
block-012,Ice_Durability,1,13,ice_durability,,
block-012,Motor Performance,1,13,motor performance,,
block-012,Space Efficiency,1,13,space efficiency,,
block-012,Visual Appeal,1,13,visual appeal,,
block-012,Water Efficiency,1,13,water efficiency,,
block-012,Cooling Coils,1,12,cooling coils,,
block-012,Machine size,1,12,size,,
block-012,Readiness,1,12,readiness,,
block-012,Refill Convenience,1,12,refill convenience,,
block-012,Tray Management,1,12,tray management,,
block-012,Setup time,1,11,setup time,,
block-012,Style,1,11,style,,
block-012,Usage Frequency,1,11,usage frequency,,
block-012,Accessibility,1,10,accessibility,,
block-012,Basket Temperature,1,10,basket temperature,,
block-012,Cleanability,1,10,cleaning effectiveness,,
block-012,Efficiency,1,10,efficiency,,
block-012,Freezing Behavior,1,10,freezing behavior,,
block-012,Freezing speed,1,10,freezing speed,,
block-012,Ice Keeping Ability,1,10,ice keeping ability,,
block-012,Replenishment Speed,1,10,replenishment speed,,
block-012,Start-Up Time,1,10,start-up time,,
block-012,Usage Convenience,1,10,usage convenience,,
block-013,Reliability,65,1269,reliability,,
block-013,Machine Reliability,1,33,machine reliability,,
block-013,Durability,1,21,durability,,
block-013,Dependability,1,11,dependability,,
block-014,Value for money,95,4172,cost value | overall value | price value | purchase value | value,,
block-014,Price,19,576,price,,
block-014,Gift Value,1,45,gift value,,
block-014,Product Value,2,26,product value,,
block-014,Entertainment Value,1,21,entertainment value,,
block-014,Solution Value,1,16,solution value,,
block-014,Worthiness,1,12,worthiness,,
block-014,Replacement Value,1,10,replacement value,,
block-015,Ice quality,28,3248,overall quality | quality,,
block-015,Appearance,21,1071,appearance,,
block-015,Product condition,13,395,condition | product condition,,
block-015,Build quality,8,311,build quality,,
block-015,Design,10,298,design,,
block-015,Fit,4,201,fit,,
block-015,Color,4,154,color,,
block-015,Description Accuracy,1,144,description accuracy,,
block-015,Gift Suitability,1,121,gift suitability,,
block-015,Replacement Quality,3,118,replacement quality,,
block-015,Machine Quality,2,98,machine quality,,
block-015,Suitability,5,80,suitability,,
block-015,Instructions Clarity,1,62,instructions clarity,,
block-015,Defects,3,40,defectiveness,,
block-015,Packaging,1,40,packaging,,
block-015,Odor,3,39,smell,,
block-015,Product Quality,3,39,product quality,,
block-015,Handiness,1,37,handiness,,
block-015,Replacement Fit,1,36,replacement fit,,
block-015,Party Suitability,1,35,party suitability,,
block-015,Consistency,1,34,consistency,,
block-015,Color Accuracy,2,33,color accuracy,,
block-015,Unit Quality,2,33,unit quality,,
block-015,Purchase Quality,2,31,purchase quality,,
block-015,Expectations,1,30,expectations,,
block-015,Versatility,2,28,versatility,,
block-015,Plastic Quality,2,26,plastic quality,,
block-015,Compatibility,1,24,compatibility,,
block-015,Noise level,2,24,sound quality,,
block-015,Portability,1,24,portability,,
block-015,Aesthetics,2,22,aesthetics,,
block-015,Arrival Condition,2,22,arrival condition,,
block-015,Durability,1,22,durability,,
block-015,Features,1,22,features,,
block-015,Product Description Accuracy,1,21,product description accuracy,,
block-015,Overall Impression,1,20,overall impression,,
block-015,Insulation,1,16,insulation,,
block-015,Lid Sealing,1,16,lid sealing,,
block-015,Parts Completeness,1,16,parts completeness,,
block-015,Style,1,16,style,,
block-015,Completeness,1,15,completeness,,
block-015,Products Quality,1,15,products quality,,
block-015,Sturdiness,1,15,sturdiness,,
block-015,Countertop Suitability,1,14,countertop suitability,,
block-015,Placement,1,14,placement,,
block-015,Cube Quality,1,13,cube quality,,
block-015,Part Quality,1,13,part quality,,
block-015,Reviews,1,13,reviews,,
block-015,Build_Quality,1,12,build_quality,,
block-015,Visual Appeal,1,12,visual appeal,,
block-015,Engineering Quality,1,11,engineering quality,,
block-015,Finish,1,11,finish,,
block-015,Material Quality,1,11,material quality,,
block-015,Mold Resistance,1,11,mold resistance,,
block-015,Part Fit,1,11,part fit,,
block-015,Replacement Accuracy,1,11,replacement accuracy,,
block-015,Advertising Accuracy,1,10,advertising accuracy,,
block-015,Authenticity,1,10,authenticity,,
block-015,Construction Quality,1,10,construction quality,,
block-015,Design Quality,1,10,design quality,,
block-015,Directions,1,10,directions,,
block-015,Expectation Match,1,10,expectation match,,
block-015,Output,1,10,output,,
block-015,Product Condition On Arrival,1,10,product condition on arrival,,
block-016,Ice quality,47,3540,ice quality | quality,,
block-016,Ice cube size,19,826,ice cube size | ice size,,
block-016,Ice texture / chewability,14,493,ice texture,,
block-016,Durability,5,303,durability,,
block-016,Ice clarity,9,247,clarity | ice clarity,,
block-016,Ice melting speed,5,242,ice melting rate | ice melting speed | melting speed,,
block-016,Nugget Ice Quality,1,216,nugget ice quality,,
block-016,Ice cube shape,5,122,ice cube shape | ice shape,,
block-016,Noise level,1,116,noise level,,
block-016,Ice Hardness,3,77,ice hardness,,
block-016,Ice Freshness,1,58,ice freshness,,
block-016,Ice Sticking,2,55,ice sticking,,
block-016,Ice cube durability,4,52,cube durability,,
block-016,Ice Consistency,4,50,ice consistency,,
block-016,Ice Cube Durability,3,47,ice cube durability,,
block-016,Value for money,1,43,value,,
block-016,Ice Thickness,3,38,ice thickness,,
block-016,Cube Quality,3,36,cube quality,,
block-016,Defects,2,36,defectiveness,,
block-016,Cube Texture,2,35,cube texture,,
block-016,Ice cube size options,1,27,ice size options,,
block-016,Tray Durability,2,27,tray durability,,
block-016,Consistency,2,24,consistency,,
block-016,Cubing,1,21,cubing,,
block-016,Sticking Together,1,21,sticking together,,
block-016,Ice availability,1,17,ice availability,,
block-016,Ice retention,1,17,ice retention,,
block-016,Ice Cube Texture,1,16,ice cube texture,,
block-016,Freshness,1,15,freshness,,
block-016,Ice Size Consistency,1,15,ice size consistency,,
block-016,Ice Melt Rate,1,14,ice melt rate,,
block-016,Mold Growth,1,14,mold growth,,
block-016,Ice Freezing Behavior,1,13,ice freezing behavior,,
block-016,Cube Moisture,1,12,cube moisture,,
block-016,Ice Formation,1,12,ice formation,,
block-016,Ice_Temperature,1,12,ice_temperature,,
block-016,Rust Quality,1,12,rust quality,,
block-016,Cube Clarity,1,11,cube clarity,,
block-016,Freezing Quality,1,11,freezing quality,,
block-016,Ice Appearance,1,11,ice appearance,,
block-016,Ice Cube Clarity,1,11,ice cube clarity,,
block-016,Ice Cube Quality,1,11,ice cube quality,,
block-016,Ice Density,1,11,ice density,,
block-016,Ice Longevity,1,11,ice longevity,,
block-016,Cleanability,1,10,cleanability,,
block-016,Hollow Ice,1,10,hollow ice,,
block-016,Ice Cube Hardness,1,10,ice cube hardness,,
block-016,Ice Temperature,1,10,ice temperature,,
block-016,Ice storage capacity,1,10,ice storage,,
block-016,Insulation,1,10,insulation,,
block-016,Metal Debris,1,10,metal debris,,
block-016,Metal Flakes,1,10,metal flakes,,
block-017,Ice cube size,41,1355,cube size | ice cube size | ice size,,
block-017,Ice cube shape,28,556,cube shape | ice cube shape | ice shape | shape,,
block-017,Ice cube size options,25,476,cube size options | ice cube size options | ice size options | size options,,
block-017,Machine size,5,139,size,,
block-017,Cube Size Consistency,3,39,cube size consistency,,
block-017,Ice Size Variety,2,36,ice size variety,,
block-017,Ice Size Selection,2,31,ice size selection,,
block-017,Ice Basket Size,2,28,ice basket size,,
block-017,Ice Size Adjustment,1,21,ice size adjustment,,
block-017,Ice Bullet Size,1,20,ice bullet size,,
block-017,Ice Cube Appearance,1,19,ice cube appearance,,
block-017,Cubing,1,16,cubing,,
block-017,Cube Size Variety,1,14,cube size variety,,
block-017,Ice Cube Fit,1,14,ice cube fit,,
block-017,Cube Selection,1,13,cube selection,,
block-017,Cube Breaking,1,12,cube breaking,,
block-017,Ice Cube Size Variety,1,12,ice cube size variety,,
block-017,Ice Cube Sizes,1,12,ice cube sizes,,
block-017,Ice Cube Thickness Adjustment,1,12,ice cube thickness adjustment,,
block-017,Overall performance,1,12,performance,,
block-017,Cube Size Settings,1,11,cube size settings,,
block-017,Ice Size Consistency,1,11,ice size consistency,,
